"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"4/27/2009","Died","Lindsey","Yes","ANHU","Male",NA,1,"Spring","suspect torpor-like state","Non-selasphorus spp.","3711_ANHU"
"2/26/2000","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Winter","nest-related","Non-selasphorus spp.","1748_ANHU"
"5/13/2016","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","caught by domestic animal","Non-selasphorus spp.","5606_ANHU"
"4/4/1994","Died","Lindsey","No","Selasphorus","Female-like ",NA,0,"Spring","unknown","Selasphorus spp.","598_ALHU"
"7/15/2005","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,1,"Summer","nest-related","Non-selasphorus spp.","2961_ANHU"
"7/9/2015","Released","Lindsey","No","Selasphorus","unknown",NA,0,"Summer","nest-related","Selasphorus spp.","5414_ALHU"
"6/28/2014","Died","malibu","Yes","Selasphorus","unknown",NA,2,"Summer","nest-related","Selasphorus spp.","6153_ALHU"
"6/28/2002","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","2291_ANHU"
"7/10/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","1099_ANHU"
"3/24/2009","Released","Lindsey","No","Selasphorus","Female-like ",NA,0,"Spring","found on the ground","Selasphorus spp.","3659_ALHU"
"3/14/1997","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","1174_ANHU"
"4/23/2000","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","1805_ANHU"
"5/4/2009","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","3715_ANHU"
"7/15/2015","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","6580_ALHU"
"3/14/2014","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","4902_ANHU"
"4/12/2011","Released","Lindsey","Yes","ANHU","Male",NA,0,"Spring","nest-related","Non-selasphorus spp.","4168_ANHU"
"3/18/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","986_ANHU"
"3/12/2016","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5523_ANHU"
"6/10/2013","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","5968_ALHU"
"4/11/2016","Died","malibu","No","Selasphorus","Female-like ",NA,11,"Spring","unknown","Selasphorus spp.","6686_ALHU"
"1/20/2013","Died","Lindsey","Yes","ANHU","Male",NA,0,"Winter","window hit","Non-selasphorus spp.","4594_ANHU"
"4/11/2016","Died","Lindsey","Yes","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5575_ANHU"
"3/3/1996","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","window hit","Non-selasphorus spp.","964_ANHU"
"3/8/2005","Released","Lindsey","Yes","ANHU","Female-like ",NA,7,"Spring","nest-related","Non-selasphorus spp.","2810_ANHU"
"5/23/1994","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","caught by domestic animal","Non-selasphorus spp.","646_ANHU"
"9/3/1998","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","caught by domestic animal","Non-selasphorus spp.","1496_ANHU"
"5/16/2015","Released","malibu","No","Selasphorus","unknown",NA,0,"Spring","unknown","Selasphorus spp.","6610_ALHU"
"12/30/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","window hit","Non-selasphorus spp.","2585_ANHU"
"4/6/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2441_ANHU"
"1/29/1997","Released","Lindsey","No","ANHU","Female-like ",NA,1,"Winter","window hit","Non-selasphorus spp.","1149_ANHU"
"3/29/2016","Released","malibu","No","Selasphorus","unknown",NA,-48,"Spring","nest-related","Selasphorus spp.","6713_ALHU"
"4/2/1999","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","nest-related","Non-selasphorus spp.","1573_ANHU"
"6/15/1992","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found inside","Non-selasphorus spp.","318_ANHU"
"3/22/2014","Released","malibu","No","Selasphorus","unknown",NA,0,"Spring","found on the ground","Selasphorus spp.","6193_ALHU"
"12/11/2014","Died","malibu","Yes","Selasphorus","Female-like ",NA,0,"Winter","found on the ground","Selasphorus spp.","6267_ALHU"
"3/24/2006","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,1,"Spring","found on the ground","Non-selasphorus spp.","3035_ANHU"
"6/1/2013","Released","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","5958_ALHU"
"5/21/2002","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2247_ANHU"
"3/24/1991","Released","Lindsey","No","Non-selasphorus","unknown",NA,1,"Spring","unknown","Non-selasphorus spp.","43_ANHU"
"5/6/2013","Released","malibu","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","5933_ANHU"
"10/28/2006","Released","Lindsey","No","ANHU","Female-like ",NA,7,"Fall","caught by domestic animal","Non-selasphorus spp.","3163_ANHU"
"4/20/2010","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","3925_ANHU"
"2/23/2010","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Winter","found on the ground","Non-selasphorus spp.","3871_ANHU"
"5/12/2004","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,2,"Spring","nest-related","Non-selasphorus spp.","2690_ANHU"
"8/30/2012","Died","Lindsey","No","Selasphorus","Male",NA,0,"Summer","found on the ground","Selasphorus spp.","4560_ALHU"
"5/21/2016","Died","Santa Barbara","Yes","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","6876_ANHU"
"10/15/2009","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","found on the ground","Non-selasphorus spp.","3824_ANHU"
"4/8/2015","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","5253_ANHU"
"4/25/2014","Died","malibu","Yes","Selasphorus","Female-like ",NA,2,"Spring","unknown","Selasphorus spp.","6104_ALHU"
"9/20/2013","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found inside","Non-selasphorus spp.","4815_ANHU"
"9/11/2011","Released","Lindsey","No","ANHU","Male",NA,0,"Fall","window hit","Non-selasphorus spp.","4306_ANHU"
"3/20/2001","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","nest-related","Non-selasphorus spp.","1994_ANHU"
"7/6/1995","Released","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","892_ANHU"
"6/1/2016","Died","malibu","No","Selasphorus","Female-like ",NA,-2,"Summer","unknown","Selasphorus spp.","6800_ALHU"
"7/21/2011","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","4280_ANHU"
"7/9/2016","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","window hit","Non-selasphorus spp.","5675_ANHU"
"2/15/2014","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Winter","found on the ground","Non-selasphorus spp.","4876_ANHU"
"3/15/2004","Released","Lindsey","No","Non-selasphorus","unknown",NA,1,"Spring","caught by domestic animal","Non-selasphorus spp.","2635_ANHU"
"6/13/2015","Released","Lindsey","Yes","ANHU","Female-like ",NA,1,"Summer","found on the ground","Non-selasphorus spp.","5379_ANHU"
"2/28/2014","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Winter","found on the ground","Non-selasphorus spp.","4883_ANHU"
"10/5/2004","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Fall","found on the ground","Non-selasphorus spp.","2771_ANHU"
"3/17/2015","Died","malibu","No","Selasphorus","Female-like ",NA,1,"Spring","unknown","Selasphorus spp.","6369_ALHU"
"5/15/2004","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","caught by domestic animal","Non-selasphorus spp.","2691_ANHU"
"11/25/2006","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","3173_ANHU"
"8/3/2013","Died","malibu","Yes","ANHU","Male",NA,0,"Summer","found on the ground","Non-selasphorus spp.","5885_ANHU"
"7/5/2002","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Summer","unknown","Non-selasphorus spp.","2305_ANHU"
"6/14/2010","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","3987_ANHU"
"7/11/2013","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","4790_ANHU"
"2/22/2016","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","nest-related","Non-selasphorus spp.","5501_ANHU"
"7/17/2016","Died","Santa Barbara","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","6907_ANHU"
"4/14/1999","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,1,"Spring","found on the ground","Non-selasphorus spp.","1592_ANHU"
"6/19/1995","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","872_BCHU"
"3/29/2013","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Spring","unknown","Non-selasphorus spp.","4665_ANHU"
"3/1/2006","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","window hit","Non-selasphorus spp.","3014_ANHU"
"3/16/1997","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","1179_ANHU"
"5/17/1999","Died","Lindsey","Yes","Selasphorus","unknown",NA,1,"Spring","nest-related","Selasphorus spp.","1636_ALHU"
"11/9/1999","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Fall","window hit","Non-selasphorus spp.","1720_ANHU"
"1/18/2000","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","1731_ANHU"
"5/20/2015","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5328_ANHU"
"2/4/2009","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Winter","found on the ground","Non-selasphorus spp.","3612_ANHU"
"3/19/1995","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","nest-related","Non-selasphorus spp.","784_ANHU"
"3/1/1993","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","385_ANHU"
"10/20/2014","Released","malibu","Yes","ANHU","Female-like ",NA,0,"Fall","caught by domestic animal","Non-selasphorus spp.","6240_ANHU"
"6/7/2016","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","5630_ANHU"
"5/30/2001","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2055_ANHU"
"4/11/2009","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","unknown","Non-selasphorus spp.","3688_ANHU"
"9/4/2002","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","unknown","Non-selasphorus spp.","2332_ANHU"
"2/17/2013","Died","malibu","No","ANHU","Female-like ",NA,0,"Winter","unknown","Non-selasphorus spp.","5741_ANHU"
"6/19/2013","Released","malibu","No","ANHU","Female-like ",NA,1,"Summer","unknown","Non-selasphorus spp.","5994_ANHU"
"6/1/1996","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","1064_ANHU"
"4/9/2013","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","4678_ANHU"
"5/30/2016","Died","malibu","Yes","Selasphorus","Female-like ",NA,0,"Spring","unknown","Selasphorus spp.","6739_ALHU"
"2/29/2008","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","3424_ANHU"
"1/29/1997","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found inside","Non-selasphorus spp.","1150_ANHU"
"3/29/2002","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","window hit","Non-selasphorus spp.","2190_ANHU"
"2/9/2008","Died","Lindsey","No","ANHU","Male",NA,0,"Winter","found on the ground","Non-selasphorus spp.","3414_ANHU"
"5/4/1996","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","nest-related","Non-selasphorus spp.","1043_ANHU"
"6/23/2016","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,1,"Summer","found on the ground","Non-selasphorus spp.","5661_ANHU"
"2/15/2003","Released","Lindsey","Yes","ANHU","Female-like ",NA,1,"Winter","window hit","Non-selasphorus spp.","2382_ANHU"
"4/4/2003","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","2436_ANHU"
"6/16/1999","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","found on the ground","Non-selasphorus spp.","1657_ANHU"
"6/7/2013","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","5962_ALHU"
"6/11/2015","Died","malibu","No","Selasphorus","unknown",NA,1,"Summer","found on the ground","Selasphorus spp.","6454_ALHU"
"7/31/2007","Released","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found inside","Non-selasphorus spp.","3359_ANHU"
"4/21/2014","Released","malibu","No","Selasphorus","Female-like ",NA,0,"Spring","unknown","Selasphorus spp.","6275_ALHU"
"8/11/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","2557_ANHU"
"6/12/2016","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Summer","found on the ground","Non-selasphorus spp.","5639_ANHU"
"5/12/2014","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5001_ANHU"
"2/21/2007","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Winter","nest-related","Non-selasphorus spp.","3205_ANHU"
"4/10/1993","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,3,"Spring","nest-related","Non-selasphorus spp.","432_ANHU"
"3/30/1998","Released","Lindsey","No","Selasphorus","Female-like ",NA,0,"Spring","window hit","Selasphorus spp.","1363_ALHU"
"4/14/2014","Died","malibu","Yes","Selasphorus","unknown",NA,0,"Spring","caught by domestic animal","Selasphorus spp.","6094_ALHU"
"2/11/1992","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","206_ANHU"
"3/29/1991","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","59_ANHU"
"5/10/1999","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","1625_ANHU"
"12/15/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","window hit","Non-selasphorus spp.","1141_ANHU"
"5/11/2002","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2241_ANHU"
"8/15/1999","Released","Lindsey","No","Selasphorus","Female-like ",NA,0,"Summer","caught by domestic animal","Selasphorus spp.","1703_ALHU"
"1/15/2001","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Winter","unknown","Non-selasphorus spp.","1939_ANHU"
"6/8/2002","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","2269_ANHU"
"7/4/2011","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Summer","found on the ground","Non-selasphorus spp.","4271_ANHU"
"3/15/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found inside","Non-selasphorus spp.","2413_ANHU"
"3/6/2014","Died","malibu","No","Selasphorus","unknown",NA,0,"Spring","unknown","Selasphorus spp.","6057_ALHU"
"7/4/1994","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","692_ANHU"
"7/26/2001","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Summer","suspect torpor-like state","Non-selasphorus spp.","2101_ANHU"
"4/1/1992","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","235_ANHU"
"9/18/2016","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","suspect torpor-like state","Non-selasphorus spp.","5713_ANHU"
"6/3/2002","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","2266_ANHU"
"1/9/1992","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","193_ANHU"
"4/9/2009","Died","Lindsey","Yes","ANHU","Male",NA,1,"Spring","suspect torpor-like state","Non-selasphorus spp.","3685_ANHU"
"1/18/2016","Died","malibu","Yes","Selasphorus","Female-like ",NA,0,"Winter","unknown","Selasphorus spp.","6619_ALHU"
"12/31/2015","Released","malibu","No","ANHU","Female-like ",NA,241,"Winter","unknown","Non-selasphorus spp.","6564_ANHU"
"5/16/2013","Released","malibu","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","5942_ANHU"
"3/9/2015","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","unknown","Non-selasphorus spp.","5204_ANHU"
"6/10/2007","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","3318_ANHU"
"3/9/2013","Released","malibu","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","5753_ANHU"
"6/6/2015","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","caught by domestic animal","Selasphorus spp.","6590_ALHU"
"7/7/2009","Died","Lindsey","No","ANHU","Male",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","3780_ANHU"
"11/6/2009","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","window hit","Non-selasphorus spp.","3833_ANHU"
"11/23/1992","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","caught by domestic animal","Non-selasphorus spp.","365_ANHU"
"6/10/2016","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","6796_ALHU"
"5/8/2012","Died","Lindsey","No","ANHU","Male",NA,1,"Spring","window hit","Non-selasphorus spp.","4462_ANHU"
"5/26/2010","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","3967_ANHU"
"6/5/2015","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","5360_ANHU"
"11/30/2010","Released","Lindsey","Yes","ANHU","Male",NA,1,"Fall","found inside","Non-selasphorus spp.","4079_ANHU"
"1/30/2013","Died","malibu","No","ANHU","Female-like ",NA,0,"Winter","unknown","Non-selasphorus spp.","5733_ANHU"
"3/8/2007","Released","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","3215_ANHU"
"6/5/2014","Released","malibu","Yes","Selasphorus","Female-like ",NA,3,"Summer","unknown","Selasphorus spp.","6128_ALHU"
"3/23/2013","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4655_ANHU"
"12/21/2013","Released","Lindsey","No","ANHU","Female-like ",NA,1,"Winter","found inside","Non-selasphorus spp.","4848_ANHU"
"4/23/1994","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","627_ANHU"
"8/3/1996","Died","Lindsey","Yes","ANHU","Female-like ",NA,8,"Summer","found on the ground","Non-selasphorus spp.","1111_ANHU"
"12/13/2014","Died","malibu","Yes","ANHU","Female-like ",NA,4,"Winter","window hit","Non-selasphorus spp.","6327_ANHU"
"6/13/2014","Released","malibu","No","ANHU","Female-like ",NA,0,"Summer","unknown","Non-selasphorus spp.","6293_ANHU"
"8/12/2012","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","4553_ANHU"
"4/18/2013","Released","malibu","Yes","Selasphorus","unknown",NA,1,"Spring","unknown","Selasphorus spp.","5779_ALHU"
"2/28/2008","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","unknown","Non-selasphorus spp.","3423_ANHU"
"6/22/2013","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","4773_ANHU"
"3/25/2015","Released","malibu","No","Selasphorus","Female-like ",NA,1,"Spring","found on the ground","Selasphorus spp.","6511_ALHU"
"7/9/1997","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","unknown","Non-selasphorus spp.","1284_ANHU"
"1/2/2015","Died","malibu","Yes","ANHU","Female-like ",NA,0,"Winter","unknown","Non-selasphorus spp.","6336_ANHU"
"9/21/2016","Died","Santa Barbara","No","ANHU","Female-like ",NA,0,"Fall","unknown","Non-selasphorus spp.","6925_ANHU"
"6/20/2009","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","found on the ground","Non-selasphorus spp.","3763_ANHU"
"9/12/1993","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","caught by domestic animal","Non-selasphorus spp.","541_ANHU"
"5/25/1998","Released","Lindsey","No","Non-selasphorus","unknown",NA,1,"Spring","nest-related","Non-selasphorus spp.","1424_ANHU"
"8/18/2012","Died","Lindsey","No","ANHU","Male",NA,0,"Summer","found on the ground","Non-selasphorus spp.","4556_ANHU"
"11/6/2006","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","3166_ANHU"
"7/29/2014","Died","malibu","Yes","Selasphorus","unknown",NA,1,"Summer","found on the ground","Selasphorus spp.","6175_ALHU"
"2/25/2004","Released","Lindsey","Yes","ANHU","Female-like ",NA,4,"Winter","found on the ground","Non-selasphorus spp.","2617_ANHU"
"5/24/2002","Died","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","2253_ANHU"
"7/11/1995","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","895_ANHU"
"4/11/2016","Died","malibu","No","Selasphorus","Female-like ",NA,15,"Spring","caught by domestic animal","Selasphorus spp.","6689_ALHU"
"3/24/2007","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","3232_ANHU"
"3/24/2014","Released","malibu","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","6195_ANHU"
"5/22/2016","Released","malibu","No","Selasphorus","Female-like ",NA,0,"Spring","unknown","Selasphorus spp.","6790_ALHU"
"3/20/2016","Released","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","5538_ANHU"
"5/10/2014","Released","malibu","No","Selasphorus","Female-like ",NA,0,"Spring","found on the ground","Selasphorus spp.","6114_ALHU"
"7/15/2012","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Summer","found on the ground","Non-selasphorus spp.","4528_ANHU"
"6/1/1994","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","658_ANHU"
"3/11/2003","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","suspect torpor-like state","Non-selasphorus spp.","2409_ANHU"
"3/1/2013","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4623_ANHU"
"3/7/2015","Released","malibu","No","Selasphorus","unknown",NA,0,"Spring","unknown","Selasphorus spp.","6506_ALHU"
"7/2/2010","Died","Lindsey","No","Selasphorus","Female-like ",NA,0,"Summer","found on the ground","Selasphorus spp.","4014_ALHU"
"7/30/2006","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","3147_ANHU"
"9/14/2016","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","5710_ANHU"
"6/14/2013","Released","malibu","Yes","Non-selasphorus","unknown",NA,0,"Summer","found on the ground","Non-selasphorus spp.","5851_ANHU"
"5/26/2014","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","unknown","Non-selasphorus spp.","5013_ANHU"
"5/22/2005","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","2887_ANHU"
"7/8/2006","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","3136_ANHU"
"2/28/1994","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Winter","found on the ground","Non-selasphorus spp.","577_ANHU"
"6/1/1991","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","113_ANHU"
"12/29/2001","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","window hit","Non-selasphorus spp.","2142_ANHU"
"6/26/2013","Died","malibu","Yes","Selasphorus","unknown",NA,0,"Summer","found on the ground","Selasphorus spp.","5865_ALHU"
"5/1/2009","Died","Lindsey","Yes","ANHU","Male",NA,0,"Spring","found inside","Non-selasphorus spp.","3713_ANHU"
"2/25/2009","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","3627_ANHU"
"6/3/2013","Released","malibu","Yes","Selasphorus","unknown",NA,0,"Summer","nest-related","Selasphorus spp.","5828_ALHU"
"3/21/1991","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","38_ANHU"
"5/26/2015","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","5336_ANHU"
"4/29/1991","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","161_ANHU"
"6/28/2013","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","4782_ANHU"
"4/14/2003","Released","Lindsey","No","Non-selasphorus","unknown",NA,1,"Spring","nest-related","Non-selasphorus spp.","2450_ANHU"
"1/26/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","2370_ANHU"
"2/13/2004","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","2608_ANHU"
"9/28/2009","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","found inside","Non-selasphorus spp.","3820_ANHU"
"11/4/2006","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","3165_ANHU"
"4/12/1998","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","1376_ANHU"
"4/19/2003","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2457_ANHU"
"8/31/2001","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","2120_ANHU"
