"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"10/12/2016","Died","malibu","No","Selasphorus","Male",NA,1,"Fall","window hit","Selasphorus spp.","6810_ALHU"
"3/19/2013","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Spring","unknown","Selasphorus spp.","5922_ALHU"
"12/30/2013","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","4851_ANHU"
"5/19/2005","Released","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","2885_ANHU"
"8/28/1995","Released","Lindsey","Yes","Selasphorus","Female-like ",NA,1,"Summer","found on the ground","Selasphorus spp.","918_ALHU"
"6/21/2016","Released","Santa Barbara","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","6887_ANHU"
"6/10/2015","Released","Lindsey","Yes","ANHU","Female-like ",NA,2,"Summer","caught by domestic animal","Non-selasphorus spp.","5372_ANHU"
"6/8/2008","Died","Lindsey","No","ANHU","Male",NA,0,"Summer","found on the ground","Non-selasphorus spp.","3516_ANHU"
"5/26/2013","Released","malibu","No","Selasphorus","Female-like ",NA,-1,"Spring","unknown","Selasphorus spp.","5951_ALHU"
"1/31/2006","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","2995_ANHU"
"5/21/1998","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","1423_ANHU"
"6/20/2013","Released","malibu","No","Selasphorus","unknown",NA,0,"Summer","unknown","Selasphorus spp.","5859_ALHU"
"5/1/2006","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","3081_ANHU"
"11/10/2003","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Fall","unknown","Non-selasphorus spp.","2578_ANHU"
"3/18/2001","Died","Lindsey","Yes","Selasphorus","Female-like ",NA,0,"Spring","unknown","Selasphorus spp.","1989_ALHU"
"5/19/2008","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","3500_ANHU"
"4/12/2016","Died","malibu","Yes","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","6691_ANHU"
"3/6/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","969_ANHU"
"12/29/2014","Died","Lindsey","No","ANHU","Male",NA,0,"Winter","found on the ground","Non-selasphorus spp.","5143_ANHU"
"2/12/1996","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Winter","found on the ground","Non-selasphorus spp.","948_ANHU"
"4/5/2013","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","4672_ANHU"
"6/5/2015","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","5359_ANHU"
"7/3/2003","Released","Lindsey","Yes","ANHU","Female-like ",NA,1,"Summer","unknown","Non-selasphorus spp.","2532_ANHU"
"4/23/2001","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,2,"Spring","nest-related","Non-selasphorus spp.","2024_ANHU"
"4/21/2013","Died","malibu","No","BCHU","Male",NA,0,"Spring","unknown","Non-selasphorus spp.","5784_BCHU"
"8/21/2003","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","2561_ANHU"
"3/16/2012","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","unknown","Non-selasphorus spp.","4389_ANHU"
"5/28/2006","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","window hit","Non-selasphorus spp.","3098_ANHU"
"11/23/2009","Released","Lindsey","Yes","ANHU","Female-like ",NA,20,"Fall","found inside","Non-selasphorus spp.","3835_ANHU"
"6/6/2011","Released","Lindsey","Yes","Selasphorus","unknown",NA,0,"Summer","nest-related","Selasphorus spp.","4240_ALHU"
"3/6/2011","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","window hit","Non-selasphorus spp.","4112_ANHU"
"8/4/1999","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","1699_ANHU"
"3/22/2016","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found inside","Non-selasphorus spp.","5544_ANHU"
"3/15/2014","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4905_ANHU"
"4/26/2014","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4971_ANHU"
